sentence,sentence_length
 The best way to get what you want is by deserving it.,54
Welcome everybody.,18
I hope you're having an amazing day.,36
And today I want to continue with our series on DoKodō by Miyamoto Musashi.,75
And I want to talk about the rule that we covered before in another video called Humility as Strength.,102
"Consider yourself lightly, consider the world deeply.",53
"In the other video, we focus on the first part.",47
"Consider yourself lightly, which deals with humility.",53
"But today, I want to focus on the first part, consider the world deeply.",72
And a practical way of applying it to the real world and connecting it to the law of attraction.,96
And I know that the law of attraction is very well known.,57
But I find that most videos and books cover it on a surface level.,66
And don't really apply it to the real world.,44
I most only talk about the mindset and everything.,50
"I mean, I get it.",17
It is important.,16
"But guys, to be honest, your mindset doesn't matter.",52
Not until you put in the work and the reps. You can read as many books as you want.,83
Watch as many YouTube videos as you want.,41
About fitness.,14
"But if you don't take action by going to the gym and eating healthy, nothing will change about your physique.",109
"And this applies to everything, guys.",37
What I'm about to tell you here is very powerful.,49
But only if you put in the work.,32
"But if you do so, it pays off big time.",39
"Whether it's work, career, or relationships.",44
And you get what you want by not focusing on what you want.,59
"Or, as Musashi said, by considering the world deeply.",53
"And by doing so, you differentiate yourself from the 9% of people immediately.",78
Because the other 90% are selfish.,34
Only thinking about what they want.,35
Without considering what the world needs.,41
"But guys, the world does not care about what you want.",54
It only cares about what you have to offer.,43
Business partners care about how you can make the money.,56
Potential life partners care about whether you can make their lives better.,75
They do not care about how hard you work.,41
Whether you're a nice guy.,26
"And especially not, your selfish needs in once.",47
"Because the thing is, they care about their selfish needs in once.",66
"And the moment you become the person who gives some access to this, you become valuable.",88
"And you, my friend, become the price.",37
And you stop chasing and start attracting.,42
The right opportunities and people into your life.,50
"And if you consistently put this into practice, you'd be so surprised how far you get ahead of your competition.",112
But here's the thing.,21
"For this to work, you first have to stop being selfish.",55
And start to think deeply about the world.,42
And two conditions must be met for this to work.,48
"First of all, actually become valuable to what it is that you want to attract.",78
"And secondly, be perceived as valuable.",39
Let's talk business.,20
Let's say you're a student at university.,41
And you want to land your first job at the prestigious firm.,60
This is what most would do.,27
They would send hundreds of applications.,41
"And as a result, they may get some interview invitations.",57
They may do some quick interview prep and prepare answers to common questions.,78
"And they often go in the interview, viewing the company as the price.",69
And that they would be so fortunate if they get the job.,56
"And with this attitude, they go into the interview saying something like, thank you so much for giving me the chance to prove myself and I promise, if I get the job, I will not let you down.",190
"And let's be honest guys, what does this sound like?",52
"This guy is chasing, not attracting.",36
Let me show you a smarter way of handling this.,47
Let's say there's another guy.,30
And he goes about it differently.,33
He researches the problems.,27
The industry is facing right now.,33
And the impact on the firms that he is applying to.,51
And he thinks about solutions to those problems.,48
And about how he would use his skills to implement this solution.,65
And the potential impact of these solutions on the firms.,57
And he now does the following.,30
Rather than sending hundreds of applications.,45
He attends a career fair of which he knows that many of the firms that he is interested in are attending.,105
And what he does is having genuine conversations with company executives of the firms that he is interested in.,111
"And rather than asking, well, can I get a job or diving straight into the problems and solutions that he identified?",116
He's rather asking something like this.,39
"In your opinion, which are the biggest challenges you think the industry and your firm are currently facing?",108
"And the executive, name some of the problems.",45
"And the guy says, interesting.",30
I think one way to handle the problems you just mentioned would be this.,72
And he casually talks about the solutions that he researched before.,68
And assuming that the guy that is home would properly.,54
The executive is getting interested.,36
And the more they discuss about the problems and solutions.,59
The more the executive realizes that this guy knows the stuff.,62
"And he says, we are recruiting for some graduate level positions right now.",75
And I think you could be a good fit.,36
Why don't you send us your CV and we arrange an interview for you?,66
"And rather than saying, of course, I'm sending my CV straight away.",67
And I will be so honored to be interviewed by you.,50
"He says something like, sure, you're not going to be able to do it.",67
And I think you could be a good fit.,36
Why don't you send us your CV and we arrange an interview for you?,66
"And rather than saying, we're so honored to be interviewed by you.",66
"He says something like, sure, why not?",38
I'm sending my CV over sometime this week.,42
"And yeah, let's find out whether we are a good match.",53
"Two weeks later, he's been invited to the interview, meeting some other executives.",83
"I wanted to ask him, why did you apply?",39
And why do you want to work for our company?,44
"And he said, I applied because Mr. So-and-so from your company, asked me to do so.",82
"And I found out whether your firm is also a good match for me, and whether I want to join the team.",99
And this guy's changes the entire game.,39
He made the firm come to him.,29
And he made himself the price.,30
"He's now asking the firm, well, what do you have to offer?",58
"Leaving him in a strong negotiation position, making the firm chase him.",72
"But in order to be in a position to do this, you actually must first become valuable and secondly, be perceived as valuable.",124
"And if you think that you're not valuable, you have to work on this.",68
"And if you think, well, I am valuable, but I'm not perceived as valuable, you have to work on this.",99
"And the moment you become this, so many opportunities come to you.",66
And you start to attract and not chase.,39
And this was only one example.,30
"And this works in many fields, no matter whether business or relationships.",75
"And if you do this on a consistent basis in every field, you get so many opportunities in every field, you get so much ahead of your competition.",145
And really use this principle and apply it to your field.,57
What do you think about this?,29
Do you agree?,13
Or do you think it's top will be us?,36
Please let me know.,19
Thank you.,10
